,video_path,true_label,frames_processed,drowsy_detections,detection_count,face_detection_failures,temporal_decisions,success,predicted_label,prediction_correct,first_detection_frame,first_detection_time,max_confidence,multiple_detections,time_between_detections
0,/Users/ahmedalkhulayfi/Downloads/benchmark/badr-02/drowsy/7.mp4,1,623,"[{'frame': 106, 'time': 3.533333333333333, 'confidence': 0.9128119600670678}, {'frame': 231, 'time': 7.7, 'confidence': 0.9084860976253237}, {'frame': 266, 'time': 8.866666666666667, 'confidence': 0.9742413801806313}, {'frame': 422, 'time': 14.066666666666666, 'confidence': 0.7637796010289873}, {'frame': 457, 'time': 15.233333333333333, 'confidence': 0.9874668768474034}, {'frame': 492, 'time': 16.4, 'confidence': 0.9854153587136949}, {'frame': 529, 'time': 17.633333333333333, 'confidence': 0.8780833475930351}]",7,0,[],True,1,True,106.0,3.533333333333333,0.9874668768474034,True,"[4.166666666666667, 1.166666666666667, 5.199999999999999, 1.166666666666666, 1.166666666666666, 1.2333333333333343]"
1,/Users/ahmedalkhulayfi/Downloads/benchmark/badr-02/drowsy/6.mp4,1,315,"[{'frame': 201, 'time': 6.7, 'confidence': 0.8955431448561805}]",1,0,[],True,1,True,201.0,6.7,0.8955431448561805,False,
2,/Users/ahmedalkhulayfi/Downloads/benchmark/badr-02/drowsy/4.mp4,1,301,"[{'frame': 94, 'time': 3.1333333333333333, 'confidence': 0.929381565111024}]",1,0,[],True,1,True,94.0,3.1333333333333333,0.929381565111024,False,
3,/Users/ahmedalkhulayfi/Downloads/benchmark/badr-02/drowsy/5.mp4,1,294,"[{'frame': 40, 'time': 1.3333333333333333, 'confidence': 0.9546048888138362}, {'frame': 75, 'time': 2.5, 'confidence': 0.9983665696212224}, {'frame': 110, 'time': 3.6666666666666665, 'confidence': 0.9994487617697034}]",3,0,[],True,1,True,40.0,1.3333333333333333,0.9994487617697034,True,"[1.1666666666666667, 1.1666666666666665]"
4,/Users/ahmedalkhulayfi/Downloads/benchmark/badr-02/drowsy/1.mp4,1,512,"[{'frame': 229, 'time': 7.633333333333334, 'confidence': 0.9872047611645289}]",1,0,[],True,1,True,229.0,7.633333333333334,0.9872047611645289,False,
5,/Users/ahmedalkhulayfi/Downloads/benchmark/badr-02/drowsy/2.mp4,1,521,"[{'frame': 24, 'time': 0.8, 'confidence': 0.9929487313543047}, {'frame': 153, 'time': 5.1, 'confidence': 0.9185147941112518}, {'frame': 188, 'time': 6.266666666666667, 'confidence': 0.9889854405607496}]",3,5,[],True,1,True,24.0,0.8,0.9929487313543047,True,"[4.3, 1.166666666666667]"
6,/Users/ahmedalkhulayfi/Downloads/benchmark/badr-02/drowsy/3.mp4,1,409,[],0,0,[],True,0,False,,,,,
7,/Users/ahmedalkhulayfi/Downloads/benchmark/badr-02/drowsy/18.mp4,1,320,[],0,0,[],True,0,False,,,,,
8,/Users/ahmedalkhulayfi/Downloads/benchmark/badr-02/drowsy/17.mp4,1,290,"[{'frame': 169, 'time': 5.633333333333334, 'confidence': 0.9927965704883848}]",1,0,[],True,1,True,169.0,5.633333333333334,0.9927965704883848,False,
9,/Users/ahmedalkhulayfi/Downloads/benchmark/badr-02/drowsy/16.mp4,1,276,[],0,0,[],True,0,False,,,,,
10,/Users/ahmedalkhulayfi/Downloads/benchmark/badr-02/drowsy/14.mp4,1,513,"[{'frame': 235, 'time': 7.833333333333333, 'confidence': 0.9858747426952634}]",1,13,[],True,1,True,235.0,7.833333333333333,0.9858747426952634,False,
11,/Users/ahmedalkhulayfi/Downloads/benchmark/badr-02/drowsy/15.mp4,1,361,"[{'frame': 301, 'time': 10.033333333333333, 'confidence': 0.9756624213286809}]",1,0,[],True,1,True,301.0,10.033333333333333,0.9756624213286809,False,
12,/Users/ahmedalkhulayfi/Downloads/benchmark/badr-02/drowsy/11.mp4,1,413,"[{'frame': 230, 'time': 7.666666666666667, 'confidence': 0.9230316251516342}]",1,0,[],True,1,True,230.0,7.666666666666667,0.9230316251516342,False,
13,/Users/ahmedalkhulayfi/Downloads/benchmark/badr-02/drowsy/10.mp4,1,273,"[{'frame': 165, 'time': 5.5, 'confidence': 0.9767388139452253}, {'frame': 239, 'time': 7.966666666666667, 'confidence': 0.9714204643453871}]",2,2,[],True,1,True,165.0,5.5,0.9767388139452253,True,[2.466666666666667]
14,/Users/ahmedalkhulayfi/Downloads/benchmark/badr-02/drowsy/12.mp4,1,417,[],0,0,[],True,0,False,,,,,
15,/Users/ahmedalkhulayfi/Downloads/benchmark/badr-02/drowsy/13.mp4,1,468,"[{'frame': 324, 'time': 10.8, 'confidence': 0.9542230342115675}]",1,0,[],True,1,True,324.0,10.8,0.9542230342115675,False,
16,/Users/ahmedalkhulayfi/Downloads/benchmark/badr-02/drowsy/8.mp4,1,335,"[{'frame': 42, 'time': 1.4, 'confidence': 0.8870352068117686}, {'frame': 87, 'time': 2.9, 'confidence': 0.9282573695693698}, {'frame': 122, 'time': 4.066666666666666, 'confidence': 0.9913373581000737}]",3,0,[],True,1,True,42.0,1.4,0.9913373581000737,True,"[1.5, 1.1666666666666665]"
17,/Users/ahmedalkhulayfi/Downloads/benchmark/badr-02/drowsy/9.mp4,1,359,"[{'frame': 134, 'time': 4.466666666666667, 'confidence': 0.9253488936594554}, {'frame': 169, 'time': 5.633333333333334, 'confidence': 0.9988939821720123}]",2,0,[],True,1,True,134.0,4.466666666666667,0.9988939821720123,True,[1.166666666666667]
