,path,true_label,predicted_label
0,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/img_g_13470.jpg,1,0
1,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/63.jpg,1,0
2,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/image_11832.jpg,1,1
3,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/img_f_14036.jpg,1,0
4,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/img_d_3277.jpg,1,0
5,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/img_g_870.jpg,1,1
6,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/img_c_17487.jpg,1,0
7,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/image_8526.jpg,1,0
8,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/image_16907 (2).jpg,1,0
9,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/img_f_16153.jpg,1,0
10,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/img_f_18618.jpg,1,1
11,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/img_f_20387.jpg,1,0
12,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/img_g_9090.jpg,1,0
13,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/77.jpg,1,1
14,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/img_f_7917.jpg,1,0
15,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/img_f_11049 (2).jpg,1,0
16,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/img_d_4524.jpg,1,0
17,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/image__13717.jpg,1,0
18,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/image__7018.jpg,1,1
19,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/img_c_5307.jpg,1,0
20,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/img_f_11600.jpg,1,1
21,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/img_d_13108.jpg,1,1
22,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/image_11629.jpg,1,0
23,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/img_e_15863.jpg,1,1
24,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/image__15399.jpg,1,1
25,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/img_g_6360.jpg,1,0
26,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/img_f_4205.jpg,1,0
27,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/img_f_13427 (2).jpg,1,0
28,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/img_d_6496.jpg,1,0
29,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/img_f_5133.jpg,1,1
30,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/image_150.jpg,1,0
31,/Users/ahmedalkhulayfi/Downloads/FaceImages/drowsy/image_15863 (2).jpg,1,1
